TCGA-OR-A5J1,TCGA-OR-A5J2,TCGA-OR-A5J3,TCGA-OR-A5J5,TCGA-OR-A5J6,TCGA-OR-A5J7,TCGA-OR-A5J8,TCGA-OR-A5J9,TCGA-OR-A5JA,TCGA-OR-A5JB,TCGA-OR-A5JC,TCGA-OR-A5JD,TCGA-OR-A5JE,TCGA-OR-A5JF,TCGA-OR-A5JG,TCGA-OR-A5JI,TCGA-OR-A5JJ,TCGA-OR-A5JK,TCGA-OR-A5JL,TCGA-OR-A5JM,TCGA-OR-A5JO,TCGA-OR-A5JP,TCGA-OR-A5JQ,TCGA-OR-A5JR,TCGA-OR-A5JS,TCGA-OR-A5JT,TCGA-OR-A5JV,TCGA-OR-A5JW,TCGA-OR-A5JX,TCGA-OR-A5JY,TCGA-OR-A5JZ,TCGA-OR-A5K0,TCGA-OR-A5K1,TCGA-OR-A5K2,TCGA-OR-A5K3,TCGA-OR-A5K4,TCGA-OR-A5K5,TCGA-OR-A5K6,TCGA-OR-A5K8,TCGA-OR-A5K9,TCGA-OR-A5KO,TCGA-OR-A5KT,TCGA-OR-A5KU,TCGA-OR-A5KV,TCGA-OR-A5KW,TCGA-OR-A5KX,TCGA-OR-A5KY,TCGA-OR-A5KZ,TCGA-OR-A5L3,TCGA-OR-A5L4,TCGA-OR-A5L5,TCGA-OR-A5L6,TCGA-OR-A5L8,TCGA-OR-A5L9,TCGA-OR-A5LA,TCGA-OR-A5LB,TCGA-OR-A5LC,TCGA-OR-A5LD,TCGA-OR-A5LE,TCGA-OR-A5LG,TCGA-OR-A5LH,TCGA-OR-A5LJ,TCGA-OR-A5LK,TCGA-OR-A5LL,TCGA-OR-A5LM,TCGA-OR-A5LN,TCGA-OR-A5LO,TCGA-OR-A5LP,TCGA-OR-A5LR,TCGA-OR-A5LS,TCGA-OR-A5LT,TCGA-OU-A5PI,TCGA-P6-A5OF,TCGA-P6-A5OG,TCGA-PA-A5YG,TCGA-PK-A5H8,TCGA-PK-A5H9,TCGA-PK-A5HA,TCGA-PK-A5HB
7.7829,7.1847,4.1493,2.169,2.771,1.2509,0.2611,7.1336,16.6698,0.35,17.755,6.5076,0.3867,2.4151,1.9535,14.6315,2.4692,37.9089,46.2231,3.8725,1.4564,3.3713,32.9077,63.8302,1.3091,111.4887,79.2684,1.2373,3.2514,0.1051,53.7208,1.2021,78.8656,1.7257,37.1727,85.2233,0.5101,1.2561,16.2358,0.411,21.578,0.636,27.3666,6.8598,6.7353,6.055,1.9804,8.3439,1.0904,32.2833,26.0092,16.4479,11.66,14.2903,25.8503,7.7791,7.6943,14.2156,7.3214,3.709,26.2296,0.27,6.1373,2.2376,51.522,8.9834,18.8731,29.6374,61.8712,9.2715,25.6022,17.8029,2.2576,0.2956,37.7393,54.6074,2.3023,17.2883,1.8205
1.381,4.779,3.5039,1.0068,3.3359,1.4786,10.0529,3.9275,0.8739,10.3087,2.1014,3.4641,1.5984,5.2006,0.7277,10.6016,12.052,1.1901,3.2259,1.5829,4.2082,5.9828,6.0019,1.9698,4.4325,4.9066,1.6618,8.6404,0.9217,1.073,11.9909,4.7211,3.1913,1.4208,0.8828,2.5468,0.6356,4.4438,5.9583,4.5601,8.22,0.8169,2.0816,1.7957,3.5482,4.8541,6.1699,2.7015,3.1893,0.6932,10.9333,2.3571,14.0828,3.869,5.4106,9.9606,2.8849,1.4755,1.2939,3.5108,2.222,6.7445,4.23,24.3003,0.3331,3.0974,2.0369,4.3027,3.6928,6.7748,7.3353,3.0968,6.988,2.2001,7.6358,1.8465,14.4543,15.1437,0.2914
0.6801,0.0947,0.3256,0.2168,0.2037,0.306,0.279,0.424,0.2091,0.0541,0.3461,0.3576,0.2063,0.4964,0.0576,0.102,0.1609,0.2926,0.0282,0.0822,0.2829,0.5594,0.0974,0.0477,0.3151,0.054,0.0261,0.5763,0.4913,0.2065,0.0505,0.6645,0.0414,0.628,0.1708,0.0276,0.0797,0.0912,0.2978,0.0227,0.1296,0.0997,0.7851,0.1273,0.0992,0.1995,0.3256,0.8854,0.1817,0.0556,0.5232,0.1854,0.1973,0.1307,0.081,0.3687,0.5146,0.0711,0.1279,0.1001,0.1691,0.3319,0.1628,0.3181,0.183,0.217,0.0931,0.1177,0.0819,0.404,0.2479,0.2482,0.4195,0.027,0.0865,0.2744,0.7593,0.0364,0.0791
0.0023,0.0077,0.0453,0.0101,0.0075,0.0155,0.002,0.0106,0.0203,0.1104,0.2339,0.0249,0.005,0.0328,0.0275,0.0262,0.038,0.1742,0.0829,0.0359,0.0026,0.0172,0.0155,0.0218,0.0781,0.0215,0.0091,0.0443,0.0074,0.0722,0.0379,0.0088,0.0036,0.0084,0.0079,0.0271,0.0023,0.0073,0.0159,0.0464,0.0443,0.0092,0.0286,0.008,0.0313,0.0069,0.0297,0.0169,0.0026,0.0152,0.0185,0.0374,0.0021,0.0071,0.038,0.0246,0.0279,0.0089,0.0287,0.0149,0.0655,0.0109,0.0095,0.0097,0.0612,0.0126,0.0198,0.0468,0.0716,0.0648,0.0253,0.0297,0.006,0.0086,0.034,0.0167,0.013,0.0127,0.0244
0.0023,0.0019,0.4368,0.0229,0.0013,0.0225,0.039,0.0045,0.7795,0.0011,0.0141,0.008,0.0038,1.4592,0.1269,0.0093,0.0236,0.0261,0.6575,0.0023,0.0,0.0043,0.0088,0.022,0.001,0.0011,0.0356,0.0776,0.0075,0.0118,0.0238,0.0015,0.0456,0.0042,0.0634,0.0091,0.0,0.0,0.1071,0.0022,0.0099,0.0093,0.0306,0.001,0.1348,0.0,0.0857,0.0034,0.0,0.0107,0.0041,0.0063,0.001,0.0,0.0026,0.599,0.0018,0.0022,0.0,0.0129,0.0735,0.0143,0.012,0.0196,0.1506,0.0,0.4492,0.0141,0.0,0.2352,0.0018,0.1408,0.0315,0.5588,0.0057,0.7747,0.0028,0.0182,0.0584
3.517,4.4295,12.1448,10.3008,1.7626,6.031,4.3294,6.8126,2.4675,8.3571,0.8817,11.5293,10.6276,15.9061,5.8842,4.0693,24.6412,3.3763,3.2361,3.9102,3.1596,1.9443,10.2287,9.1995,9.9481,6.3215,2.5734,3.5858,3.7879,2.0392,5.7426,15.386,3.0733,2.5876,2.4859,6.5772,4.4127,6.8525,8.3328,6.1928,8.0905,5.2877,2.3297,9.4651,4.2181,1.8354,10.6675,2.1547,4.1195,1.2878,4.98,4.3292,4.3525,0.955,4.5682,7.0227,10.0291,0.8497,3.4555,2.6598,3.177,11.2295,4.1222,5.5393,1.1619,2.7416,4.207,9.3547,5.3332,10.2056,21.3059,12.1585,22.9447,8.7126,6.19,1.4683,3.0681,5.0114,2.2132
4.568,6.9983,27.4384,17.4553,5.1886,5.2057,0.8111,2.7789,16.7213,1.3069,5.8237,14.1476,1.1076,20.3569,6.2843,18.1008,6.8727,12.3068,10.4931,2.3366,2.2273,5.3375,33.2018,81.5395,5.1815,62.5186,28.7155,13.4884,6.0441,3.9541,57.1003,8.0598,69.1901,2.8757,14.5262,145.4904,5.7543,6.1136,19.2844,0.6666,26.7987,9.5325,5.0603,3.9641,10.1484,7.2675,7.7185,2.6191,1.8399,22.0977,26.163,14.4721,7.6337,11.8104,16.5014,19.2731,3.4628,1.4772,1.5384,3.0802,14.0587,6.3813,7.2529,3.9563,7.9722,8.5483,8.0902,28.4973,45.7758,15.1319,11.4315,22.1982,15.0097,6.0805,8.547,17.2508,4.9568,29.5521,21.9636
0.0128,0.0736,0.051,0.0142,0.0677,0.0523,0.3814,0.0379,0.0314,0.0228,0.0086,0.0408,0.0169,0.0313,0.0258,0.0266,0.0126,0.0092,0.0731,0.0404,0.0488,0.0651,0.0435,0.0268,0.0264,0.0507,0.041,0.0142,0.0112,0.442,0.0461,0.0985,0.0325,0.0141,0.0354,0.0712,0.1227,0.0353,0.0299,0.0099,0.0194,0.0774,0.0241,0.0112,0.0244,0.0284,0.0222,0.0494,0.0923,0.0308,0.0531,0.0491,0.0491,0.0241,0.0057,0.0166,0.0078,0.015,0.0503,0.0096,0.1949,0.0982,0.064,0.0218,0.0079,0.0036,0.0,0.0379,0.0403,0.0292,0.2153,0.0401,0.0091,0.3287,0.0085,0.0816,0.0188,0.0358,0.0389
8.7762,1.1628,3.247,2.133,3.7519,4.1766,0.5376,5.2076,1.681,1.0516,2.7127,3.3819,4.6956,7.6084,0.8097,1.1383,3.213,3.0203,2.0194,1.2661,3.6016,7.5615,2.5863,1.4617,6.3747,1.7408,0.9095,5.6188,4.2215,5.1047,2.4523,12.3761,1.5909,8.923,2.0017,2.7967,2.044,1.1939,2.2984,0.5325,3.4891,1.348,9.8918,3.9703,1.9764,2.5158,3.061,1.2101,2.5656,0.9774,4.466,5.1482,2.4278,1.4719,1.7655,5.1509,2.645,0.7982,2.1749,1.7457,3.9005,2.0693,1.5217,6.2077,1.9412,2.5708,3.2144,1.8915,2.2548,6.1978,6.0252,5.0525,4.0647,0.5684,2.0011,2.9227,10.151,0.4665,0.6258
0.0801,0.1542,0.1044,0.0275,0.4037,0.05,1.2443,0.053,0.0276,2.0173,0.1002,0.0769,0.0119,0.1379,0.0435,0.0855,0.0849,0.1072,0.0776,0.029,7.1602,0.1442,0.1354,0.0216,0.0942,0.0058,0.0232,0.1016,0.0641,0.1212,0.0171,0.0932,0.0393,0.0996,0.032,0.1187,0.0347,0.0246,0.0686,0.0255,0.0435,0.4768,0.1287,0.0337,0.0294,0.0062,0.1665,4.1842,0.0378,0.1445,0.4875,0.0847,0.0748,0.1019,0.1306,0.0902,0.116,0.006,0.0304,0.1276,0.1391,0.0311,0.1321,0.2526,0.0288,0.0215,0.0448,0.0953,0.1483,0.0858,0.0368,0.212,0.3051,0.4757,0.0475,0.0549,9.0755,0.2348,0.0428
